ando viendo como quitar este columna lol,XML Tags Missing,XML Tags Missing.1,XML Tags Missing.2,XML Tags Missing.3,XML Missing,XML Tags Missing.4,XML Missing.1,XML Tags Missing
,7E8T0AT,7J058AA,7J059AA,7G9V3AT,,7H710AT,,7J087AA
,marketing_tier,marketing_tier,marketing_tier,marketing_tier,marketing_tier,marketing_tier,,marketing_tier
,prodfinish,prodfinish,prodfinish,prodfinish,prodshortnamespecs,prodfinish,,prodfinish
,weightpackmet,weightpackmet,weightpackmet,weightpackmet,prodlongnamespecs,weightpackmet,,weightpackmet
,weightpackus,weightpackus,weightpackus,weightpackus,osinstalleddes01,weightpackus,,weightpackus
,dimenpackus,dimenpackus,dimenpackus,dimenpackus,processortype,dimenpackus,,dimenpackus
,batterylife,batterylife,batterylife,batterylife,memmax_01,batterylife,,batterylife
,batteryrechrg,batteryrechrg,batteryrechrg,batteryrechrg,hdcntrltype_01,batteryrechrg,,batteryrechrg
,batteryrechrgftntnbr,batteryrechrgftntnbr,batteryrechrgftntnbr,batteryrechrgftntnbr,hdcntrltype_01hdmin,batteryrechrgftntnbr,,batteryrechrgftntnbr
,batterytypenote,batterytypenote,batterytypenote,batterytypenote,hdcntrltype_01hdmax,batterytypenote,,batterytypenote
,powersupplytype,powersupplytype,powersupplytype,powersupplytype,netinterface,powersupplytype,,powersupplytype
,webcam,webcam,webcam,webcam,powersupplyfixed,webcam,,webcam
,wirelesstechnonote,wirelesstechnonote,wirelesstechnonote,wirelesstechnonote,wrntyfeatures,wirelesstechnonote,,wirelesstechnonote
,display,display,display,display,,display,,display
,screenbodyratio,screenbodyratio,screenbodyratio,screenbodyratio,,screenbodyratio,,screenbodyratio
,displaycolorgamut,displaycolorgamut,displaycolorgamut,displaycolorgamut,,displaycolorgamut,,displaycolorgamut
,cloudserv,cloudserv,cloudserv,cloudserv,,cloudserv,,cloudserv
,cloudservftntnbr,cloudservftntnbr,cloudservftntnbr,cloudservftntnbr,,cloudservftntnbr,,cloudservftntnbr
,memstdnote,memstdnote,memstdnote,memstdnote,,memstdnote,,memstdnote
,chipset,chipset,chipset,chipset,,chipset,,chipset
,swprodfinance,swprodfinance,swprodfinance,swprodfinance,,swprodfinance,,swprodfinance
